source_product_handle,source_review_count,product_family,mapping_status,target_product_handles,target_product_titles,output_review_rows,notes
earphone-reshell-service-by-aaw,112,Reshell Service,mapped,earphone-reshell-service-by-aaw,Earphone Custom Reshell Service by AAW,112,Null Audio reshell service reviews mapped to AAW's live reshell service product.
advanced-acousticwerkes-a3h-pro-triple-driver-hybrid-custom-in-ear-monitor,42,A3H+ LUX,mapped,advanced-acousticwerkes-a3h-universal-in-ear-monitor; advanced-acousticwerkes-a3h-pro-triple-driver-hybrid-custom-in-ear-monitor,A3H+ Lux Edition Universal In-Ear Monitor; A3H+ LUX Custom In-Ear Monitor,84,No current live product target chosen; keep for manual legacy/testimonial review.
advanced-acousticwerkes-a2h-pro-dual-driver-hybrid-custom-in-ear-monitor,36,,unmapped_legacy_or_no_live_product,,,0,No current live product target chosen; keep for manual legacy/testimonial review.
advanced-acousticwerkes-nebula-one-universal-in-ear-monitor,32,,unmapped_legacy_or_no_live_product,,,0,No current live product target chosen; keep for manual legacy/testimonial review.
advanced-acousticwerkes-axh-universal-in-ear-monitor,32,Z05,mapped,z05-auag-launch-edition,Z05 AuAg Launch Edition,32,Legacy AXH mapped to Z05 AuAg as the successor product per AAW request.
canary-isobaric-electrostatic-universal-in-ear-monitor,24,Canary Pro,mapped,canary-isobaric-electrostatic-universal-in-ear-monitor; canary-isobaric-electrostatic-custom-in-ear-monitor,Canary Pro 14 Driver Isobaric Electrostatic Universal In-Ear Monitor; Canary Pro 14 Driver Isobaric Electrostatic Custom In-Ear Monitor,48,Legacy/current Canary handle now represents Canary Pro; duplicated to Canary Pro UIEM and CIEM.
aaw-q-in-canal-monitor,21,,unmapped_legacy_or_no_live_product,,,0,No current live product target chosen; keep for manual legacy/testimonial review.
advanced-acousticwerkes-a1d-dynamic-custom-in-ear-monitor,16,,unmapped_legacy_or_no_live_product,,,0,No current live product target chosen; keep for manual legacy/testimonial review.
ach-ceramic-universal-in-ear-monitor,11,,unmapped_legacy_or_no_live_product,,,0,No current live product target chosen; keep for manual legacy/testimonial review.
m5-5d-in-ear-monitors,11,Z05,mapped,z05-auag-launch-edition,Z05 AuAg Launch Edition,11,Legacy M5-5D mapped to Z05 AuAg per AAW request.
advanced-acousticwerkes-a3h-universal-in-ear-monitor,11,A3H+ LUX,mapped,advanced-acousticwerkes-a3h-universal-in-ear-monitor; advanced-acousticwerkes-a3h-pro-triple-driver-hybrid-custom-in-ear-monitor,A3H+ Lux Edition Universal In-Ear Monitor; A3H+ LUX Custom In-Ear Monitor,22,No current live product target chosen; keep for manual legacy/testimonial review.
advanced-acousticwerkes-m80-custom-in-ear-monitor,10,M20,mapped,m20-universal-in-ear-monitor; m20-custom-in-ear-monitor,M20 Universal In-Ear Monitor; M20 Custom In-Ear Monitor,20,"Null Audio handle is M80, but review titles identify M20; mapped to current M20 UIEM and CIEM."
iem-remolding-modification-service,10,Reshell Service,mapped,earphone-reshell-service-by-aaw,Earphone Custom Reshell Service by AAW,10,Legacy remolding/modification service reviews mapped to AAW's live reshell service product.
project-4-2-electrostatic-hybrid-in-ear-monitor,9,Z06,mapped,z06-universal-in-ear-monitor; z06-custom-in-ear-monitor,Z06 Universal In-Ear Monitor; Z06 Custom In-Ear Monitor,18,Legacy Project 4+2 mapped to Z06 UIEM and CIEM per AAW request.
advanced-acousticwerkes-w500-reference-hybrid-custom-in-ear-monitor,8,Mockingbird,mapped,advanced-acousticwerkes-w900-reference-universal-in-ear-monitor; advanced-acousticwerkes-w900-reference-hybrid-custom-in-ear-monitor,Mockingbird Reference Universal In-Ear Monitor; Mockingbird Reference Hybrid Custom In-Ear Monitor,16,Legacy W500 mapped to current Mockingbird UIEM and CIEM per AAW request.
advanced-acousticwerkes-axh-custom-in-ear-monitor,7,Z05,mapped,z05-auag-launch-edition,Z05 AuAg Launch Edition,7,Legacy AXH custom mapped to Z05 AuAg as the successor product per AAW request.
advanced-acousticwerkes-w900-reference-hybrid-custom-in-ear-monitor,6,Mockingbird,mapped,advanced-acousticwerkes-w900-reference-universal-in-ear-monitor; advanced-acousticwerkes-w900-reference-hybrid-custom-in-ear-monitor,Mockingbird Reference Universal In-Ear Monitor; Mockingbird Reference Hybrid Custom In-Ear Monitor,12,Live AAW W900 handle is now Mockingbird custom; duplicated to Mockingbird UIEM and CIEM.
kingfisher-ceramic-gaming-universal-in-ear-monitor,5,,unmapped_legacy_or_no_live_product,,,0,No current live product target chosen; keep for manual legacy/testimonial review.
ash-universal-in-ear-monitor,5,ASH,mapped,ash-universal-in-ear-monitor; ash-custom-in-ear-monitor,ASH Universal In-Ear Monitor; ASH Custom In-Ear Monitor,10,No current live product target chosen; keep for manual legacy/testimonial review.
w300ar-acoustic-reference-hybrid-custom-in-ear-monitor,5,,unmapped_legacy_or_no_live_product,,,0,No current live product target chosen; keep for manual legacy/testimonial review.
w100-reference-dynamic-custom-in-ear-monitor,4,,unmapped_legacy_or_no_live_product,,,0,No current live product target chosen; keep for manual legacy/testimonial review.
advanced-acousticwerkes-a2h-hybrid-universal-in-ear-monitor,4,,unmapped_legacy_or_no_live_product,,,0,No current live product target chosen; keep for manual legacy/testimonial review.
a3h-wireless-universal-in-ear-monitor,3,A3H+ LUX,mapped,advanced-acousticwerkes-a3h-universal-in-ear-monitor; advanced-acousticwerkes-a3h-pro-triple-driver-hybrid-custom-in-ear-monitor,A3H+ Lux Edition Universal In-Ear Monitor; A3H+ LUX Custom In-Ear Monitor,6,No current live product target chosen; keep for manual legacy/testimonial review.
m5-1d-in-ear-monitors,3,,unmapped_legacy_or_no_live_product,,,0,No current live product target chosen; keep for manual legacy/testimonial review.
advanced-acousticwerkes-w350-reference-custom-in-ear-monitor,3,,unmapped_legacy_or_no_live_product,,,0,No current live product target chosen; keep for manual legacy/testimonial review.
advanced-acousticwerkes-a1d-universal-custom-in-ear-monitor,3,,unmapped_legacy_or_no_live_product,,,0,No current live product target chosen; keep for manual legacy/testimonial review.
pola-electrostatic-universal-in-ear-monitor,3,POLA,mapped,pola-electrostatic-universal-in-ear-monitor,POLA Electrostatic Universal In-Ear Monitor,3,Only a live POLA universal product exists; not duplicated to custom.
aaw-ath-6-driver-hybrid-custom-in-ear-monitor-1,3,Z06,mapped,z06-universal-in-ear-monitor; z06-custom-in-ear-monitor,Z06 Universal In-Ear Monitor; Z06 Custom In-Ear Monitor,6,Legacy ATH 6-driver mapped to Z06 UIEM and CIEM per AAW request.
advanced-acousticwerkes-halcyon-universal-in-ear-monitor,2,Halcyon,mapped,halcyon-electrostatic-hybrid-in-ear-monitor; advanced-acousticwerkes-halcyon-electrostatic-hybrid-custom-in-ear-monitor,Halcyon Electrostatic Hybrid In-Ear Monitor; Halcyon Electrostatic Hybrid Custom In-Ear Monitor,4,Legacy Halcyon reviews mapped to active Halcyon UIEM and CIEM product handles.
aaw-canary-isobaric-electrostatic-custom-in-ear-monitor,2,Canary Pro,mapped,canary-isobaric-electrostatic-universal-in-ear-monitor; canary-isobaric-electrostatic-custom-in-ear-monitor,Canary Pro 14 Driver Isobaric Electrostatic Universal In-Ear Monitor; Canary Pro 14 Driver Isobaric Electrostatic Custom In-Ear Monitor,4,Legacy Canary custom mapped to Canary Pro UIEM and CIEM.
ash-custom-in-ear-monitor,2,ASH,mapped,ash-universal-in-ear-monitor; ash-custom-in-ear-monitor,ASH Universal In-Ear Monitor; ASH Custom In-Ear Monitor,4,No current live product target chosen; keep for manual legacy/testimonial review.
aaw-nebula-two-universal-in-ear-monitor,2,,unmapped_legacy_or_no_live_product,,,0,No current live product target chosen; keep for manual legacy/testimonial review.
aaw-z06-6-driver-custom-in-ear-monitor,2,Z06,mapped,z06-universal-in-ear-monitor; z06-custom-in-ear-monitor,Z06 Universal In-Ear Monitor; Z06 Custom In-Ear Monitor,4,Bundled Z06 Universal/Custom so each Z06 review appears on both pages.
advanced-acousticwerkes-a3h-triple-driver-hybrid-custom-in-ear-monitor,1,A3H+ LUX,mapped,advanced-acousticwerkes-a3h-universal-in-ear-monitor; advanced-acousticwerkes-a3h-pro-triple-driver-hybrid-custom-in-ear-monitor,A3H+ Lux Edition Universal In-Ear Monitor; A3H+ LUX Custom In-Ear Monitor,2,No current live product target chosen; keep for manual legacy/testimonial review.
advanced-acousticwerkes-a2h-v-dual-driver-hybrid-custom-in-ear-monitor,1,,unmapped_legacy_or_no_live_product,,,0,No current live product target chosen; keep for manual legacy/testimonial review.
advanced-acousticwerkes-w500-ahmorph-reference-hybrid-custom-in-ear-monitor,1,Mockingbird,mapped,advanced-acousticwerkes-w900-reference-universal-in-ear-monitor; advanced-acousticwerkes-w900-reference-hybrid-custom-in-ear-monitor,Mockingbird Reference Universal In-Ear Monitor; Mockingbird Reference Hybrid Custom In-Ear Monitor,2,Legacy W500 AHMorph mapped to current Mockingbird UIEM and CIEM per AAW request.
aaw-w900-uiem-ciem-demo-sale,1,Mockingbird,mapped,advanced-acousticwerkes-w900-reference-universal-in-ear-monitor; advanced-acousticwerkes-w900-reference-hybrid-custom-in-ear-monitor,Mockingbird Reference Universal In-Ear Monitor; Mockingbird Reference Hybrid Custom In-Ear Monitor,2,W900 demo sale mapped to current Mockingbird UIEM and CIEM.
aaw-m40-uiem-ciem-demo-sale,1,,unmapped_legacy_or_no_live_product,,,0,No current live product target chosen; keep for manual legacy/testimonial review.
aaw-z06-universal-6-driver-in-ear-monitor,1,Z06,mapped,z06-universal-in-ear-monitor; z06-custom-in-ear-monitor,Z06 Universal In-Ear Monitor; Z06 Custom In-Ear Monitor,2,Bundled Z06 Universal/Custom so each Z06 review appears on both pages.
aaw-axh-uiem-ciem-demo-sale,1,Z05,mapped,z05-auag-launch-edition,Z05 AuAg Launch Edition,1,Legacy AXH demo sale mapped to Z05 AuAg as the successor product per AAW request.
mockingbird-hybrid-in-ear-monitor,1,Mockingbird,mapped,advanced-acousticwerkes-w900-reference-universal-in-ear-monitor; advanced-acousticwerkes-w900-reference-hybrid-custom-in-ear-monitor,Mockingbird Reference Universal In-Ear Monitor; Mockingbird Reference Hybrid Custom In-Ear Monitor,2,Legacy Mockingbird handle mapped to current Mockingbird UIEM and CIEM.
